Year;Yield
1961;236.4
1962;237.8
1963;235.1
1964;314.1
1965;227.2
1966;282.3
1967;292.1
1968;251.5
1969;285.7
1970;279.8
1971;313.3
1972;286.7
1973;245
1974;275.1
1975;283.8
1976;251.3
1977;231.2
1978;223.5
1979;234
1980;231
1981;205.4
1982;225
1983;210.1
1984;208.4
1985;216
1986;248.2
1987;254.5
1988;342.6
1989;421.3
1990;423.2
1991;335.4
1992;433
1993;362.7
1994;419.6
1995;403.9
1996;383.8
1997;300
1998;300
1999;334
2000;291.1
2001;288.6
2002;285
2003;331.3
2004;368.5
2005;400
2006;400
2007;420
2008;373.5
2009;444.1
2010;395
2011;437.4
2012;549.5
2013;522.1
2014;510
2015;510
2016;510
2017;519.6
2018;529.9
