Data;Kurs
2019-06-03;3.8344
2019-06-04;3.80645
2019-06-05;3.80153
2019-06-06;3.80898
2019-06-07;3.78875
2019-06-10;3.76169
2019-06-11;3.76692
2019-06-12;3.76363
2019-06-13;3.76801
2019-06-14;3.77379
2019-06-17;3.79742
2019-06-18;3.79701
2019-06-19;3.80413
2019-06-20;3.79276
2019-06-21;3.76605
2019-06-24;3.7429
2019-06-25;3.73099
2019-06-26;3.7432
2019-06-27;3.74607
2019-06-28;3.73957
2019-07-01;3.73395
2019-07-02;3.75753
2019-07-03;3.75824
2019-07-04;3.75865
2019-07-05;3.7591
2019-07-08;3.78665
2019-07-09;3.7954
2019-07-10;3.80939
2019-07-11;3.79038
2019-07-12;3.79287
2019-07-15;3.7884
2019-07-16;3.78375
2019-07-17;3.79634
2019-07-18;3.79686
2019-07-19;3.77232
2019-07-22;3.7885
2019-07-23;3.78855
2019-07-24;3.8156
2019-07-25;3.81636
2019-07-26;3.81913
2019-07-29;3.83961
2019-07-30;3.84795
2019-07-31;3.85225
2019-08-01;3.875
2019-08-02;3.88647
2019-08-05;3.87706
2019-08-06;3.85325
2019-08-07;3.85225
2019-08-08;3.85688
2019-08-09;3.86061
2019-08-12;3.86039
2019-08-13;3.85996
2019-08-14;3.8787
2019-08-15;3.92463
2019-08-16;3.93858
2019-08-19;3.9103
2019-08-20;3.93952
2019-08-21;3.92436
2019-08-22;3.92095
2019-08-23;3.9332
2019-08-26;3.92546
2019-08-27;3.92797
2019-08-28;3.94448
2019-08-29;3.96302
2019-08-30;3.96724
2019-09-02;3.98315
2019-09-03;3.97463
2019-09-04;3.9609
2019-09-05;3.9347
2019-09-06;3.93362
2019-09-09;3.9331
2019-09-10;3.92105
2019-09-11;3.92039
2019-09-12;3.94224
2019-09-13;3.91949
2019-09-16;3.90331
2019-09-17;3.9366
2019-09-18;3.91561
2019-09-19;3.93235
2019-09-20;3.92869
2019-09-23;3.9714
2019-09-24;3.99413
2019-09-25;3.97494
2019-09-26;4.0031
2019-09-27;4.0173
2019-09-30;4.00372
2019-10-01;4.01081
2019-10-02;4.00874
2019-10-03;3.97575
2019-10-04;3.95015
2019-10-07;3.934
2019-10-08;3.946
2019-10-09;3.94439
2019-10-10;3.93885
2019-10-11;3.915
2019-10-14;3.9009
2019-10-15;3.89605
2019-10-16;3.89047
2019-10-17;3.86842
2019-10-18;3.85055
2019-10-21;3.8384
2019-10-22;3.83524
2019-10-23;3.83951
2019-10-24;3.83973
2019-10-25;3.85273
2019-10-28;3.85875
2019-10-29;3.85062
2019-10-30;3.8393
2019-10-31;3.81782
2019-11-01;3.82237
2019-11-04;3.80843
2019-11-05;3.83775
2019-11-06;3.85103
2019-11-07;3.85402
2019-11-08;3.85437
2019-11-11;3.8689
2019-11-12;3.87093
2019-11-13;3.88847
2019-11-14;3.89446
2019-11-15;3.88717
2019-11-18;3.86752
2019-11-19;3.8802
2019-11-20;3.86825
2019-11-21;3.87753
2019-11-22;3.88453
2019-11-25;3.89815
2019-11-26;3.902
2019-11-27;3.90575
2019-11-28;3.91596
2019-11-29;3.92262
2019-12-02;3.91461
2019-12-03;3.87017
2019-12-04;3.86512
2019-12-05;3.8636
2019-12-06;3.85135
2019-12-09;3.86823
2019-12-10;3.87464
2019-12-11;3.86742
2019-12-12;3.84747
2019-12-13;3.83325
2019-12-16;3.83725
2019-12-17;3.82295
2019-12-18;3.81965
2019-12-19;3.83811
2019-12-20;3.83189
2019-12-23;3.84215
2019-12-24;3.85289
2019-12-26;3.83795
2019-12-27;3.838
2019-12-30;3.81164
2019-12-31;3.79795
2020-01-02;3.79557
2020-01-03;3.79494
2020-01-06;3.80236
2020-01-07;3.77957
2020-01-08;3.80778
2020-01-09;3.8108
2020-01-10;3.8222
2020-01-13;3.81137
2020-01-14;3.80105
2020-01-15;3.79442
2020-01-16;3.79357
2020-01-17;3.79918
2020-01-20;3.82305
2020-01-21;3.8234
2020-01-22;3.81772
2020-01-23;3.8206
2020-01-24;3.84055
2020-01-27;3.8582
2020-01-28;3.8823
2020-01-29;3.875
2020-01-30;3.89214
2020-01-31;3.89065
2020-02-03;3.87608
2020-02-04;3.88545
2020-02-05;3.86972
2020-02-06;3.85985
2020-02-07;3.8783
2020-02-10;3.90343
2020-02-11;3.9082
2020-02-12;3.89738
2020-02-13;3.91043
2020-02-14;3.91738
2020-02-17;3.92163
2020-02-18;3.931
2020-02-19;3.9532
2020-02-20;3.95036
2020-02-21;3.96749
2020-02-24;3.96577
2020-02-25;3.96821
2020-02-26;3.95567
2020-02-27;3.96598
2020-02-28;3.92965
2020-03-02;3.91793
2020-03-03;3.87606
2020-03-04;3.8547
2020-03-05;3.85875
2020-03-06;3.83405
2020-03-09;3.78611
2020-03-10;3.78078
2020-03-11;3.80945
2020-03-12;3.84267
2020-03-13;3.91846
2020-03-16;3.91928
2020-03-17;3.97857
2020-03-18;4.0586
2020-03-19;4.1157
2020-03-20;4.25988
2020-03-23;4.24078
2020-03-24;4.29405
2020-03-25;4.25897
2020-03-26;4.19797
2020-03-27;4.09957
2020-03-30;4.0775
2020-03-31;4.11342
2020-04-01;4.13325
2020-04-02;4.20332
2020-04-03;4.21255
2020-04-06;4.24279
2020-04-07;4.22534
2020-04-08;4.1571
2020-04-09;4.1695
2020-04-13;4.16065
2020-04-14;4.17975
2020-04-15;4.11628
2020-04-16;4.15962
2020-04-17;4.17404
2020-04-20;4.15569
2020-04-21;4.16085
2020-04-22;4.17437
2020-04-23;4.20236
2020-04-24;4.21376
2020-04-27;4.19205
2020-04-28;4.18721
2020-04-29;4.20244
2020-04-30;4.17952
2020-05-01;4.15003
2020-05-04;4.16285
2020-05-05;4.17184
2020-05-06;4.18394
2020-05-07;4.2149
2020-05-08;4.2041
2020-05-11;4.20167
2020-05-12;4.21844
2020-05-13;4.2072
